title,rate,comment
"
銀波(夜)@銀座: TOKYO FOODRINK NOTE
",3.0,"
          銀座にて新年会。４丁目交差点の裏手にある地下の店。店内は落ち着いたよい雰囲気でゆったりとくつろげる。山形県産　里芋の摺り流し～小海老　五色あられ～なかなか期待をさせる前菜。カラフルなあられが可愛らしい。鮟肝と北寄貝吉野酢浸し～若布　小口分葱～鮮魚の御造り三種真鱈と白子の酒蒸し陶板～ポン酢　分葱　檸檬～ノルウェー産　オーロラサーモンと胡桃味噌焼き～笹葱　米茄子～百合根饅頭のズワイ蟹餡掛け～紅葉麩～帆立真丈の湯葉包み揚げ～青唐　岩塩　檸檬～帆立が非常に瑞々しい。牡蠣と木野子の土鍋御飯赤出汁イチゴ風味の大福～ストロベリーソース～料理のボリュームも多く十分に堪能。初めはビールで頑張っていたが途中から日本酒へ変更。プレミアム飲み放題の種類が比較的豊富なので目移りしてしまう。珍しいPB日本酒もあったので半分冷やかしで注文したところ、これがなかなかいける。個室も多く店内は綺麗で静か、店員の方のサービスもよいので会食に向いている。その後の２軒目は近くのダイニングMARUGOへ移動。さらにダーツとビリヤードを楽しんで最後はカラオケへ。結局10時間ほど楽しんで始発間際に帰宅。「TOKYO FOODRINK NOTE」より抜粋https://wwwwweb.at.webry.info/202002/article_2.html
"
"
銀波 銀座店　忘年会 | ワクワクアロハのブログ
",3.5,"
          銀座四丁目の交差点から徒歩30秒とっても便利な場所にある銀波　銀座店友人たち6名での忘年会として利用しました 土曜日の夕方オープンと同時の17時に予約階段を降りていくとすぐに分かったみたいで名前を呼ばれ個室に通されましたなかなか高級感のある店内 今回は3時間飲み放題付　一休の割引プラン7500円のコースをお願いしました広めの個室で居心地は良かったデスあらかじめテーブルにはお鍋が用意されていました プレミアム飲み放題かなりの種類が飲み放題に入っていて飲兵衛には嬉しい最初はスパークリングワインで乾杯しました 河豚の松前漬け～黄金とびっこ～などの前菜メニューもテーブルに置いてあったので確認しながら食べられました お造り～　ちょっと少ないけどこの値段ならしょうがないかな～ 飲み放題なので各自がいろいろな種類を頼んでいましたボタンを押すとすぐにスタッフさんが来てくれてスムーズに注文できましたコレはポイント高いなぁ～生ビールを私は注文　アサヒのスーパードライ サーロインの陶板焼きお塩とお味噌で食べます　味噌が美味しかった 金目鯛の煮物 日本酒も各種飲み放題にありました2号徳利での提供でした ローストビーフ揚物　真名鰹磯辺揚げと蟹真丈東寺揚げ お任せ握りは3個　〆のご飯は少し量が少ないかな^^;せめて５個ぐらいは出してほしいなぁ～～ 赤だしの味噌汁 今回は忘年会と誕生日会も兼ねていたので最後のデザートは小さいながらも名前入りのケーキをお願いしてました 感想としては高級感のあるお店銀座の一等地にありながらもリーズナブル料理の量は少な目だけど一応合格点の味お酒の提供もスムーズ完全な個室なのでとっても静かで居心地満点 来年の忘年会もコチラで決まりかな～ 
"
"
銀座で雰囲気よい個室居酒屋
",3.3,"
          日曜日のランチに予約して伺いました。銀座和光からほど近い、すずらん通りに面したビルの地下にあるお店です。店内は、落ち着いた照明で居酒屋というカテゴリーにしては高級感のある雰囲気です。ランチコース「楓」4,400円を頂きました。前菜の里芋の摺り流しが、ほんのり甘味があり冷製スープのようで美味しかったです。コースなので、お造り、煮、炊、焼、揚と進んでいきます。お料理の量に対して、次のお料理が来るまでの間隔が、少し長いかなとは感じました。量は、少な目です。お酒と共に楽しむのであれば丁度よいのかもしれませんが、運転の予定がありウーロン茶だったのでf(^^;それぞれのお料理は、見た目から楽しめる美しい盛り付けです。お味は、居酒屋という割には繊細で、これは！という特長は感じませんが素材を丁寧に調理している感じがしました。陶板焼きは、最初からテーブルにセットされていたのですが、順番になるとテーブルの係の店員さんが火を入れて下さり、「お蓋を開けに参りますので、そのままでお待ち下さい」と。スペシャルな感じを与える、上手い演出ですね(笑)ゆっくり頂くというペース配分をしていただいたので(笑)お料理の量は少な目ですが、そこそこ満腹になりました。殆んどが個室で、人数に応じてかなり大人数の宴会でも収容可能のようです。少人数でも個室なので、落ち着いて話をしたい時などよいですね。日本酒の種類がとても多く、夜にアラカルトのお料理で楽しむのも良いかも♪控え目な落ち着いたサービスが、好印象でした。誕生日まであと何日か、という日だったのでご馳走になりまして(笑)銀座という場所の割には、そんなにお高くないと思いますのでまたの機会があればお邪魔しようかと思います。ご馳走さまでした。
        "
"
『和彩・炭火・個室 銀波-GINPA- 』　目でも楽しむことができるほどに彩りが美しい""ばらちらし""
",3.3,"
          (2019.11.03)午後には雨になるとの予報でありますし、アポイントが入っていることから早めにお昼を済ませておこうと…銀座四丁目交差点から歩いて1分ほどにある『銀波』へお邪魔することにいたしますすずらん通り面する一等地にあるお店でありまして、地下へと続く階段を下りた先には照明を落とした雰囲気あるエントランスが…そしてエスコートされるがままについて行った先は靴を脱いで上がる小上がり席でありまして、簾で仕切られることでの圧迫感もありますが、周りの目を気にすることなく落ち着いて食事を楽しむことができます日曜日でありながらもお昼のサービスメニューを提供してくれることがありがたく、のどくろ一夜干し御膳など6種が用意された中から選んだのは「海鮮ばらちらし御膳」深みがあるお重の底面に敷き詰められたシャリには、マグロの赤身やいくら、それにサーモンやカンパチと10mm強のサイコロにカットされたネタが散りばめられていて…そこに食感の変化が楽しめるキュウリも加えられていえうことで彩りが美しく、いただく前に目で楽しむことができますね
"
"
大人数でも掘りごたつ式の座敷を利用できる貴重な店舗
",3.5,"
          201903下（月）18:30東京・銀座銀座のランドマークとして有名な銀座和光の近くにあり晴海通りから鈴らん通りに入って直ぐのオシャレな入口が目印です。階段をトトトンと降りると店員さんにお出迎えされ段差の多い店内を丁寧に案内されます。銀座の中心部でありながら最大70名近くの大人数でも掘りごたつ式の座敷を利用できる貴重な店舗です。今回は25名で利用のため大座敷を区切った形になり仕切りが天井まで届いていなので、お隣さんの声が少々こぼれ聞こえましたが、特段の問題はありませんでした。今夜のメニュー　美食コース5,900円+プレミアム飲み放題2,100円=8,000円（税込）プレミアム飲み放題は予約時に少々お高い感がありましたが利用してみると種類が豊富で大人数でも各人の好みを満足させる内容だったので大正解でした。店員さんはキビキビ動かれストレスなく利用できましたので大人数での利用にお薦めです。ごちそうさまでした。
        "
"
弥生の昼会席。個室でゆったりとできるランチ
",3.4,"
          2018年4月1日(日)           【弥生の昼会席3480円】銀座駅から徒歩3分位でお店は地下１階にあります。この日はランチのお誘いをうけ珍しくお一人様ランチではなかったのですがおそらく全席個室になってまして落ち着いた雰囲気です。ランチは多分ラストオーダー14時まで。ランチメニュー■のどぐろの一夜干し御膳  2100円■みつせ鶏親子丼御膳  1700円■和牛サーロイン水晶プレート焼き御膳  2800円■弥生の昼会席 3480円他、多数メニューあり。私達は弥生の昼会席をオーダー【先附】胡麻豆腐【造里】鮮魚三種盛り合わせ【台物】蛤と筍の酒蒸し【焼物】岩中豚 の柚子胡椒味噌焼き【揚物】天婦羅盛り合わせ【食事】鮭とイクラの親子ちらしとお椀物【甘味】抹茶蕨もちと塩子豆アイスの内容です胡麻豆腐はもっちりしてとてもおいしかったです。鮮魚三種盛り合わせも普通においしくいただきました。蛤と筍の酒蒸しも春を感じる一品で出汁がとてもおいしかったです。岩中豚の柚子胡椒味噌焼きは肉の臭みがちょっと気になりましたし思ったより味気なかったかな…天婦羅盛り合わせはカリッサクッでよかったです。鮭とイクラの親子ちらしは甘めのシャリお椀物は赤出汁甘味は抹茶蕨もちはもちもちと柔らかく塩小豆アイスは甘さ抑えた大人のデザートでした。個室になってるので落ち着いたランチを楽しむことができました。数名で利用するにはいいお店です。
        "
"
銀座にしては良心的なお店でした。
",3.6,"
          会社の同期の動静については、この４月の定期異動にも関連して色々と変化が起こりました。定年を前に退職する人、平成30年度内に定年を迎えて退職を予定している人、社内で再雇用になる予定の人、そして社外に再就職する予定の人・・・やはり定年を控えたこの年になると色んなパターンが出てきます。介護の問題なども微妙に絡んできますしね。このような動きが身の回りにあると、私もつい最近読んだ楠木新さんの「定年後」の内容が身につまされます。幸い無趣味では無いのでそれなりの青写真は描けてはいますが、ギターについてはジストニアとの戦いがありますし、アンサンブルは何とかなるものの、ソロの方は予断を許しません。そんなことで、この日は、現在首都圏勤務の昭和〇年入社のメンバーによる壮行会と銘打った宴席がこちらのお店で行われました。壮行会ということですが、主賓の方が多い会。よって、私はまだ送る方の立場なのですが、送られる人を招待する形ではたまったもんではありません。このため会費は割り勘ということでセットされました。それにしても、永年同期会の万年幹事を務めてくれ、今回も幹事をやってくれたＫ君も今回は送られる立場。次からは誰が幹事をやるのでしょうか？そう考えると感慨深いものがあります。当店は、地下鉄銀座駅のＡ１出口すぐの銀座七宝ビルの地下１階にあるお店です。運営しているのは、株式会社サン・ロイヤル。「香家」とか「囲」、「一粋」といったブランドで居酒屋中心に20数店舗を経営している中堅外食企業です。当店も2010年5月のオープンとありますので、間もなくオープン後丸８年。軌道に乗って来たころではないかと推測されます。18時30分からの予約で集まったのは7名。この日都合が合わなかった人もいますし、地方勤務の人もいますが、それにしても随分少なくなったなあというのか実感です。店内はなかなかこぎれい。段差が何箇所かあるのが難点ですが、席は、きちんと個室の体をなしています。ちょっと前に個室とは名ばかりの劣悪店を経験しているので、随分マシに思えます。この日頼んでいたのは、楓コースという料理全九品4,400円のコース。これに通常飲み放題より500円アップのプレミアム飲み放題2,100円（地酒９銘柄、焼酎８銘柄などが付きます。）を付けました。生ビールで乾杯して宴会の開始です。先付は富山県産ホタルイカの酢味噌掛け。ソラマメと大根が添えられています。旬のホタルイカということもありましたが、脇役（特にソラマメ）もいい仕事をしており、とても美味しかったです。先の期待ができる先付でした。次のお造りは三種盛り。タイ、マグロ、サーモンの3種でネタは平凡かもしれませんが、鮮度の感じられるお造りで、これも悪くありません。劣悪居酒屋でもこの3種のネタは良くあると思いますが、鮮度の違いでこうも違うものかと思います。焼き物の群馬県産上州牛リブロース肉～卸しポン酢・味噌タレ～は宴席開始時からテーブルの上に陶板焼きがセットされており、それに火を入れてくれます。上州牛は交雑種というのが相場ですが、このようにミディアムレアくらいで焼いて食べると黒毛和種と言われても分からないですね。柔らかくて美味しかったです。続く蒸し物は、愛媛県産真鯛真丈東寺蒸し、筍、桜人参、蕗添え銀餡。これも悪くないです。新しいタイプの居酒屋さんと思われますが、和風の味付けはキチンとしており、職人技を感じます。次に口替りとして、菜の花とくらげの胡麻白和え（糸蒟蒻と人参添え）が運ばれて来ました。お上品な料理ですが、クラゲと糸蒟蒻の歯ごたえがあって、とろけるような白和えとの対照が心地よかったです。揚げ物は長崎県産ふぐの唐揚げに青唐辛子とレモンが添えられます。モチッとした食感に軟骨のコリコリした歯応えも加わって、さすがふぐですね。美味しかったです。〆の食事は、本日鮮魚の吹き寄せちらし寿司。これが小さめながらもなかなか豪華。あっさり系の〆ですが、とても美味しかったです。留椀に赤出汁が添えられていました。最後のデザートは、抹茶蕨餅苺ホイップ。 これもほろ苦い抹茶風味と優しい甘さが相まって爽やかな味わいですし、苺ホイップが味を引き立てる役割を果たしています。とても美味しいデザートでした。全体として、なかなかのコースでした。料理は大皿提供は無く、全て一人一品の提供。この点も高級感につながっています。最近あまりいい印象の無かった食べログ会員店ではありますが、当店は銀座でこの内容で6,500円なら十分及第点です。落ち着いた雰囲気のお店で、定年間際の年寄りたちの集まりにもうってつけ。この日も結構賑わっていた様子でしたし、なかなかの良店と見ました。
"
"
【再訪】完全個室和食店@銀座5丁目
",3.5,"
          【初回訪問:2016年3月】平日の18：00に予約して入りました。銀座の中心4丁目の交差点からほど近くの雑居ビルにある「完全個室和食店」≒ 高級風居酒屋です。「高級感を漂わせる大人のための和空間。旬の素材を贅沢に使用し職人が手がける手作りの創作和食をご堪能頂けます。大小個室を完備。接待会食から大型の御宴会まで多様なシーンでご利用が可能」との事。 （お店のHPから引用）久しぶりに食べログ評価点がアンダー3.00のお店にトライする運びになりました。（ちなみに訪問時点の評価点は2.99）階段を地下一階に降りていくと落ち着いた空間が広がっていて、通されたのは4人掛けテーブルの個室。で、今回オーダーしたのは以下の品々。内容と評価は次の通りです。【◎、○、△】（「　」内はお店のHPからの引用）島根県産　のどぐろ一夜干し　1420円　○「脂がノリ絶品！！王道の焼き魚！是非召し上がって下さい」お好みで大根おろしとレモンをかけて頂きます　柔らかくてマイウー本日鮮魚４種盛り合わせ　890円　○「漁港直送のおすすめ鮮魚の4点盛り合わせ。銀波の御造りはテーブルを華やかに演出致します」新鮮で及第点の素材を使用北海道産 ポテトサラダと朝採り野菜 1,080円　△「自家製のポテトサラダと新鮮野菜スティック」ポテトサラダはスパイシーでＯＫなれど野菜スティックがイマイチ　コスパも...ムネ肉と胡瓜の梅肉和え　760円　○たっぷりの梅肉を使用してさっぱりした食感　ムネ肉と胡瓜のカットの仕方がユニーク富山県産 蛍烏賊の沖漬け　550円　○「味の染みた濃い味の珍味です」長芋の塩雲丹和え　580円　△水晶プレート焼き　本日の霜降り常陸牛サーロイン　3,240円　△「最上級の特選A5和牛サーロインを日替わりで御用意させて頂いておりますやわらかな肉質。ジューシーな舌触り。旨みをギュッと凝縮した繊細で芳醇な味わい」常陸牛のボリュームがとても小さくコスパの面で...北海道産 タラバ蟹の土鍋御飯　1,820円　○「じっくりと蟹の味が染み込みご飯が美味しく感じます」確かに美味しゅうございました漬物盛り合わせ　660円　○「山ゴボウ、セロリ、小茄子、独活など御用意しております」しっかり漬かった漬物のオンパレード　土鍋ご飯と一緒に食べるとＯＫ！BGMはジャズ！客筋はビジネスピーポー。客の入りは約8割。女性比率は約4割。「2.99」は少し辛口の評価だと思いますよ。ご馳走様でした。【2016年12月】平日の18：00に忘年会で利用しました。今回オーダーしたのは「季節感溢れる～波月コース　6000円」。内容と評価は次の通りです。【◎、○、△】【前菜】 季節の三種盛り合わせ 　◎【お造里】 お造り四種盛り合わせ　〇【陶板】 牛すき焼き小鍋　〇【焼き物】 寒鰤の西京味噌漬け焼き　〇【煮物】 地鶏と海老芋の煮おろし　〇【酢の物】寒鰤酢〆と浅漬け蕪の酢味噌かけ〇【揚物】 河豚の唐揚げ　〇【お食事】 握り鮨　〇【お椀物】 赤出汁 〇【菓子】 焼き林檎とチーズケーキ～バニラアイス添え～　〇どれも及第点の味。提供されるタイミングとサービスも良かったので評価点を上げました。ちなみに投稿時点の食べログ評価点は3.01です。ご馳走さま。
        "
"
割烹風の居酒屋です！
",2.9,"
          銀座四丁目の交差点から直ぐという集まりやすい場所で会食となりました。私は初めて訪問しましたが，ビルの地下にあって，入口が照明でライトアップされていてとても綺麗です。メニューが外に掲示されてあって，入る前に見てみると価格は控えめです。予約した仲間に聞くと「大切なお席に・・～美食コース」なるものを飲み放題付きにしたとのこと。 以下にコースの内容と評価を記載しますが，結論から言うと美味しくありません。というか値段相応の味です。作り置きが多いせいか，旬の味を感じませんでした。和食に拘って低価格で提供する姿勢は買いですが，見た目と中身がかい離していて，もっと高いお金を払って美味しいものを食べる方が満足できると思いました。チェーン展開しているグループの１店舗としての限界ではないでしょうか？私は今後，主体的に使うことはないと思います。①国産ローストビーフとクリームチーズの溜り醤油漬け・焼きセロリと舞茸ののお浸し）○　クリームチーズと醤油が合います！②漁港直送鮮魚のお造り四種盛り合せ　×　刺身が乾き始めていました！③蛤の土瓶蒸し　○　蛤そのものと出汁が味が弱いですが汁は美味しく戴きました④和牛サーロインの陶板焼き（食べる野菜のぽん酢）　△　陶板焼きが売りですが肉質が良くありません⑤寒鰤の西京味噌漬け焼き　×　何これ！ちいさっ！薄い！　味は極めて普通です⑥河豚の唐揚げ　△　可もなく不可もなし！⑦本日の握り寿司　×　シャリが乾燥して下がくっついています！！⑧本日の赤出汁　？　印象無し！⑨季節のシャーベット　○　普通に美味しい
        "
"
何が売りのお店なのか伝わってきませんでした^^;
",-,"
          忘年会シーズンがスタートしました。この日はお取引様との忘年会です。お昼に舌を大やけどしてますので、味に関するこの日のコメントはやや怪しいです（笑）この日のお料理は以下です。【先　付】季節の手造り豆冨　～旨出汁～【造　里】季節鮮魚御造り三点盛り合わせ【陶板焼】群馬県産　牛リブロースの陶板焼き～卸しポン酢・胡麻たれ～【杉板焼】愛媛県産　寒鰤と焼き大根～柚子胡椒味噌～【煮　物】千葉県産　小蕪の鶏挽肉射こみ～ずわい蟹の餡～【揚　物】福井県産　鰆の黒七味揚げと裏白椎茸【食　事】千葉県産浅利有馬煮と野沢菜の加薬御飯【お　椀】本日の赤出汁【甘　味】青森県産　林檎ゼリー～ヨーグルトソース～（お店のメニュー記述を参照いたしました）味は・・・残念ながらどうもピンときませんでした。お造りも旨みは少なし、寒ブリもちょっとポソポソ感が目立ちます。リブロースは、陶板の蓋が開いた（お店のスタッフの方）タイミングで、お肉に熱が通らぬよう、野菜の上に置きましたが、時すでに遅し、火が通りすぎでした。これじゃあねえ・・・それに小っちゃいですよ（笑）お酒はビールの後に、芋焼酎でしたが、舌がいかれてるので味を感じず、コメント不可。でもロックの量が少なすぎ。飲み放題なので、頻繁にオーダーしなければならず面倒をかける事に・・ちなみに料理はすべて、極めて、極めてボリューム少ないです。お値段高めなのが、さすが銀座の一等地(笑）小食の自分でも少なく、1時間後には小腹の余裕を感じる状況。ここで忘年会する場合には、幹事さんは、二次会、または〆のラーメンを準備しておくと喜ばれます（笑）総じて、それぞれがまずいわけではないでも、何が売りのお店なのか、まったく伝わってくるものがありませんでした^^総武線通勤快速に乗ってしまったため、津田沼に停車せず、JR千葉駅まで運ばれる羽目に（笑）千葉駅で蕎麦でもと思いましたが、ちょうどシャッターが閉まるところ。ならばコーヒーショップ・・・やっぱり閉店済みでした^^;ここは何かの啓司と考え、何も食べずに帰宅です^^v
        "
