title,rate,comment
"
土用の丑先取りで | ＡＫＩ味日記
",3.5,"
          梅雨の合間の真夏日。バテ気味の体が鰻を欲している。  日曜日の正午、目白駅からすぐの鰻店を覗くと...賑わってますね〜。ギリギリセーフでカウンター席に入れて貰いましたが、もう満席です。 ランチ限定のうな丼(2500円税込)に決まり。贅沢ですが国産うなぎですからね。納得のお値段です。両隣はうな重か...  え⁉️知らなかった！国産うなぎと言っても""日本ウナギ""とは限らない？！日本では養殖産地の表示しか義務化されておらず、一部では外国品種が出回っているとか。日本ウナギとはかけ離れた品種で大幅に味が劣るそうです。  安心安全な日本ウナギが来ました❣️ふっくら柔らか〜。タレは主張せず控えめ。美味しいです  国産うなぎでも皮がゴムみたいに硬いのありますよね？あれってもしかして外国品種だったりするのかな〜。ちゃんと""日本ウナギ""って表示して欲しいな〜。 勉強になりました。二の丑も日本ウナギを頂きたい。
        "
"
養殖うなぎの最高峰へ
",3.7,"
          うなぎ百名店に選出されているお店。「百名店のメダルがもっと欲しい！」って事で始めました、これまであんま行ってないジャンルのお店を廻ろう的な企画。これにて、うなぎ百名店も3店舗訪問。無事メダルゲットです。うなぎｽｷｰ様からすると、3店舗ぽっちですが。。。まーうなぎの高評価店ってお高いですしね。。。おいそれとは行けませんので、クリアーにも時間がかかりましたわ。さて、コチラは「うなぎ 目白ぞろ芽」さん。名前の通り、目白にあるうなぎの人気店。駅からめっさ近いです。駅を出て左手。階段を降りたらすぐ。こーゆーお高級なお店が駅近くにあるって、やや珍しいですよね。コチラは「共水うなぎ」が名物。天然ものじゃー無いですが、天然を越える？とも言われる養殖うなぎで、全国でも提供するお店は30店程しかないそうです。店内はカウンター中心。左奥にはテーブル席もいくつかりましたが、お一人様たる私はやっぱりテーブル席へ直行。でもこのお店はテーブル席ベストかも。職人さんがうなぎを捌いて……焼いて……ってな所作も見れるし。目的は先述の共水うなぎですが、結構メニュー豊富で浮気したくなる。うなぎの一品モノだけでも10種類以上あるし……ううむ。えーい、雑念は振り払って。当初の目的通り共水うなぎに突撃！以下食べたもの◼️共水うな重 大盛ご飯は大盛無料なので当然大盛で。お吸い物とお漬物付き。お椀と器が光輝いてて、高級感がダダ漏れしいてます。静岡県焼津市にある「株式会社共水」が育てているうなぎ。一般の養殖うなぎに比べ、DHAEPAが4～5倍もあるそうですね。美しい照りを放つ2枚のうなぎ。箸で簡単にほどけて、かなーり柔らかいです。ふわふわした質感で、焼きの技術力を思い知らされるわー。タレは適度に甘辛く。うなぎのクオリティを損ねない代物。何気にご飯の炊き具合が良くて、めっさ進みましたわ。共水うなぎは提供まで40分かかります。お客さんが多いと更にに待つと思いますので、時間に余裕を見ての来店が吉ですな。ごちそうさまでした！
"
"
鰻で呑む。銘柄鰻で締める。
",3.8,"
          2020/4/13（月）dinnerinstagram「＠mitomi_emon」／ブログ「http://ameblo.jp/nobuhiromitomi」目白にある鰻居酒屋『うなぎ 目白ぞろ芽』へ。”居酒屋”と紹介したのは、その豊富な鰻料理のメニューから。うざくやう巻などの一般的なメニューに留まらず、幅の広い鰻料理の用意がございます。お酒のアテとしてオススメしたいのが「うなぎハム」。低温調理で仕上げた一品で、塩とオリーブオイルで調味する。イタリアなどでも鰻って一般的ですからね、オリーブオイルとの相性は証明済。実際に酒が進む癖になる味わいです。「くりから三種焼き」では、さらにユニークな鰻との向き合い方ができる。鮎の魚醤、タレ、ねぎ醤油で同じくりからを食べ比べ。特に鮎の魚醤での食べ方は面白い上に相性がいい。同じ川魚同士で仲良しというところでしょうか。最大の売りは希少なブランド鰻「共水うなぎ」自然環境に近い水質と温度で養殖した共水うなぎが名物。これを重にしていただきましたが、タレはすっきりめ。きっと鰻への自信があるがゆえでしょう。関東風のふんわりと柔らかい仕上げで、口の中で旨味とともにとろけていきます。個人的には適度なかたさで炊かれた米がお気に入り。鰻があっさりなことも手伝ってか、米の旨さも際立っているような印象です。刺激が足らなければミルに入った山椒を上手に活用しましょう。ご馳走様でした。
        "
"
共水うなぎはやっぱり美味しい
",3.8,"
          目白にある共水うなぎを味わえるお店比較的新しいお店のようで、店内はとてもきれいで雰囲気もオシャレです。共水うなぎとは静岡県の株式会社共水が手掛ける養殖うなぎのことです。養殖にもかかわらず天然に近い旨味と風味を持つうなぎとして知られています。非常に手間がかかり数が出せない分、全国でも取り扱えるお店は30店舗しかありません。■注文商品・共水うな重(肝吸い付き) 6000円　税込価格です。　ごはん大盛り無料やや小さめのお重にうなぎが1尾厚みはありますがサイズは小さめです。表面と皮は軽く焦げ目が付く程度に焼かれます。いただいてみると、、うまい。身はフワッとしていて、口の中にねっとりとした脂が広がります。香りがとても強く、旨味も上品です。一瞬脂が多いように感じますが、脂の質が良いので、全くしつこさがありません。他のうなぎとは一味違いますね。質の良さから値段の高さにも納得できます 笑調理加減はちょうど良かったです。ただ、タレがちょっと醤油がキツいかな。せっかくの共水うなぎの旨味がタレに消されている感じがありました。肝吸いはとても美味しい！肝がめちゃくちゃ濃厚で絶品でした。さすがは共水うなぎ様〜 笑共水うなぎとしてはリーズナブルだと思います。ただ、普通のうな重と比べるとやっぱり割高。たしかに共水うなぎは美味しいけど、個人的な好みとしてはこの値段を払ってまで食べたいうなぎではないかな〜笑ごちそう様でした〜！
        "
"
やよログ(つ∀｀*)幻の共水うなぎを常時食せる鰻屋
",4.2,"
          ◼️全国40店舗も卸されない幻のブランド鰻、静岡県焼津市のブランド養殖「共水うなぎ」を常時扱う鰻屋。☆◆共水うなぎうな重　ご飯小盛りしっかりした味わいの共水を持つと崩れるか崩れないか程にふわっふわに仕上げている。タレは甘さと濃さを均等だが、あっさりしていて身の味を損なわないように作られている。お米も甘さ控えめで味が濃い。香川米との事。きっちりと40分かかる。◆香の物（鰻重に付いてくる）しっかりとシャキッとしていて手が込められている。◆肝吸い（共水のみ付いてくる）岩海苔が入っている。肝の味が濃い。◼️お店◼️白焼き、蒸し、タレ焼きを3回と伝統法。大将の岡田氏は東京.神楽坂のうなぎ屋「かぐら坂 志満金（しまきん）」で修行。カードはマスター、VISAのみ。税込価格。◼️◼️やはり共水が1番好み。リーズナブルすぎる。カウンターに座ると目の前で鰻の捌きや焼きが見れてとても良い。お茶の差し替えを食後に頂ける、帰りのドアを開けて頂けたり気遣いも良い。肉質が良い共水をここまでフワトロに仕上げる技を見ました。
        "
"
ねっとり食感の共水うなぎ！！タレのかかったご飯とも相性抜群！！
",4.8,"
          　９連休もとうとう最終日。最後はこれまで食べていないものが食べたい！と思い、鰻をいただくことにしました！中でも幻の「共水うなぎ」を提供する「うなぎ目白ぞろ芽」さんへ行きました。事前に予約を入れてからお店に行きました。お店は目白の駅前にあるのですが、かつて私が住んでいた時には無いお店です。最近出来たお店だと思います。　予約した時間５分前にお店へ行きました。お店の中はジャズが流れたモダンな雰囲気のお店です。木のカウンターに案内されました。　メニューを見ていると、お目当ての共水うなぎの他にも通常の鰻も使用しているようです。鰻の焼き時間の関係で、少し時間をいただくとのことでした。今日は初志貫徹「共水うな重(肝吸付き)」を注文しました。　共水うなぎは飼育数に制限があり、限られたお店でのみ提供可能な鰻とのことです！どんな味の鰻がとても楽しみです！　私の目の前で店主さんが鰻を焼いていたので、鰻を焼くのを見ながらうな重を待ちます。鰻をくぐらせるタレの香りが香ばしく、食欲が湧いてきます！　鰻は注文を受けてから店主さんが捌いていました。これは鰻店で食べる醍醐味だと思います！うな重の鰻以外にも串焼きなどもメニューにあり、それらを焼くのも店主さんが行っていました。鰻は店主さんのみ扱えるようです。　鰻を焼く時、店主さんが鰻を何回もひっくり返して位置を入れ替えていました。鰻が焼かれると煙がもくもくと上がっていきます。それだけ脂が乗った鰻ということですね。鰻の脂が多いのか、換気扇で煙が吸い切れず、部屋の中にも少し残っていました。笑それだけ脂たっぷりの鰻を使っているということでしょう。　一度焼いた鰻を蒸し焼きにするようです。蒸し焼きにすることで、必要以上に脂を落とさないようにしていると思われます。蒸した鰻をタレにくぐらせて再度炭火で焼いていました。　そして、とうとううな重が運ばれてきました！！うな重にお新香、肝吸が乗せられています。お重の蓋を取ると、中には共水うなぎが1尾分乗っています！！久しぶりの鰻にテンションが上がります！　鰻を箸で切ると、簡単に切ることが出来ました。口の中に入れると、脂を含んだ鰻のねっとりした食感が口の中で溶けていきます！これまで食べた鰻とは味や食感は全く異なります！！とても美味しいです！鰻の身に脂がたっぷりと含まれているため、食感がねっとりとしていると思われます。タレは甘さ控えめで、鰻の旨味を味わえる味付けとなっています！ご飯にはうなぎのタレがかかっており、タレの甘みとご飯の相性もとても良かったです！ご飯にタレがしっかりかかっているため、タレの甘みをご飯で味わうことが出来ます！！鰻とご飯を別々に食べても美味しいです！　鰻を味わったところで、肝吸とお新香をいただきます。肝吸は鰻の肝の他に磯海苔とお麩が入っており、塩味の効いたお吸い物がうな重と相性が良いです。お新香は大根ときゅうり、白菜の３種類で、どれもうな重の味をリセットしてくれます。　肝吸とお新香を味わったところで、うな重に戻ります。うな重に山椒をかけて食べると、山椒の香りと辛味がうな重に加わり、食欲が増進します！！とても美味しいです！山椒が加わることで、タレの甘みをより味わえます。とても美味しいです！！　久しぶりの鰻でしたが、ねっとりした食感の鰻は初めてです！また共水うなぎをいただきたいです！！
        "
"
共水うなぎ扱ってます。
",3.6,"
          共水うなぎを食べてみたくてネット予約して行ってきました(*^^*)けど飛び込みでも大丈夫そうな客入り…。う巻こんなに鰻がたっぷり入ってるう巻って凄くないですか？予想以上の量に驚き♡けど2000円近くしたしこんなもんか(´・ω・｀)串3種盛りあれ？あ、部位が一緒でタレが違うのね(・・;身の弾力がすごい！塩、タレ、そして肝醤油。肝感がかなり強い…うん！お酒進むやつ！！笑共水のうな重と白焼きどちらも6000円、白焼きにはご飯と肝吸いもプラスしました。うなぎふわっふわで口溶けがいい(*^^*)旨味が勝ってるので皮目の嫌な臭いもなし！白焼きは地焼きが選べたのでそれで。皮がパリッパリで美味しい〜♡脂も落ちて旨味が増してるのでわさびが凄い合う！！引き立てあってるよね〜(*^^*)お酒が進む肝醤油、酒が進むならお米も進む！！ってことで白米にぶっかけ〜♡笑肝吸いは出汁？なんかちょっとあまったるくて口の中さっぱりしなかった。けど、ふと思った…共水うなぎって言われても比較がなきゃわからぬ(´・ω・｀)毎日食べてるわけでもないし。普通のと食べ比べれば良かったな〜もったいないことした(´・ω・｀)
        "
"
高くついた目白 lunch…
",3.4,"
          201911イベントの前で連日寝不足。しかも、今朝は時間なくて朝食抜きで打合せ。終わったらヘアサロンのつもりが予約取れずとりあえずは何か食べねば…萎む心と体を鼓舞する意味で、鰻でも食べよ！ヘアサロンに行くつもりだったから目白。目白で鰻？近場でイイや。駅ちかにあった “ぞろ芽” へ。もう14時近いからか、先客1名。さて、奥のテーブルに一人座ります。ほ～ぅ、lunch限定の “ぞろ芽御膳” ￥3,000とか、刺身や小鉢が色々ついてお得だね。まあ、ウリは共水うなぎだから、折角だし精つけましょう♪以下所望～♪・生ビール ￥700・うざく ￥1,800・鰻肝焼き ￥800・共水うなぎ重 ￥6,000・赤武 雄町 純吟 ￥1,300うざくは、身があまり締まってなくて酢の加減も柔らかめ。好みではないなぁ…肝焼きは、ブリンブリン◎まあね、ひと串だからね。さていよいよ共水うなぎ。うん、脂のって濃厚な鰻。私は青うなぎですら、しつこく感じたりもするからね。ああ、山椒がミルか…なんやかんや諭吉超え。“ぞろ芽コース” が行けたじゃん(笑)おいお～い高くつくよねぇ目白のlunchは…
        "
"
ランチ限定のうな丼
",3.7,"
うなぎ百名店2019 選出店。月に1回、うなぎ百名店に行こうプロジェクト。先月うなぎ百名店に行けなかったので今月2回目。前回は「うなたま丼」という、だし巻き玉子が添えられたうな丼を別のお店でいただいたので、今回は同じうなたま丼でも、親子丼のように卵とじになったうな丼にしようとこちらに来てみましたが、メニューからうな玉丼がなくなっており残念。という事で、こちらにしました。＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊★うな丼（税込2,500円）＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊ランチ限定のうな丼。ご飯の大盛り、小盛りは無料。小盛りにしていただきました。うなぎはふんわり柔らかく、タレはとても控えめで鰻の美味しさを邪魔しない薄味なもの。こちらではブランド鰻の共水も提供されており、そちらの方がもっと美味しいのでしょうが（お値段ももちろん高いですが）私には普通の鰻でも十分美味しくいただけました。同じくランチ限定で、うな重、お刺身、小鉢などがセットになった「ぞろ芽御膳」は税込3,000円。うな丼に＋500円の価格で色々と付くので、色々と楽しみたい方は、このセットが1番お得な気がします。他の方のレビューを読むと、神楽坂の志満金で修行されていた方が出されたお店なのですね。志満金は昔から何度も利用している馴染みのお店なので、なんとなく嬉しくなりました。最初に緑茶、食べ終える頃にはほうじ茶のサービス。スタッフさんも皆さん笑顔で温かみを感じる接客が好印象でした。
"
"
ぞろ目が出で目が真っ白
",3.7,"
          神楽坂の鰻割烹の名店志満金で長年修業した店主が目白駅前にお店をだした。お昼はうなぎだけだが、夜は志満金と違い気軽に使える安い居酒屋を兼ねている。肩肘はらないお店がコンセプトだ。10000円のコースがお造りは要らないのでばらで注文することにした。◆共水うなぎうな重　5800円◆だし巻き卵　　　　600円◆茄子揚げびたし　　500円共水うなぎは静岡県吉田の養殖うなぎの１つ、全国で30軒ぐらいしか食べれないブランドうなぎ、このうなぎであれば5800円は安いぐらい。身は結構多く贅沢に頂く。すっきりしたうなぎなのだが、蒸したうなぎの中でもしっとり派、とろっとすっきりの味わいはとても美味しい。これだけの美味しさがあればうなぎ１本でもいいのではと思うのだが、居酒屋としても機能させるのは大将の方針なのだろう。うなぎの美味しさをもっと強調できれば予約が取れないお店になるかもしれあい
        "
